,endTime,artistName,trackName,msPlayed,trackIDs
8235,2022-03-21 04:00:00,Stray Kids,Mixtape : On Track,112340,6KIMwt89RFhB1iuUgHjXui
8236,2022-03-21 04:04:00,GOT7,You Calling My Name,194707,6f4wghlwYWGLqGEIKc6HDQ
8237,2022-03-21 04:08:00,Eric Nam,Runaway,153293,60sX1vz8ToXYuaAvW5sYMs
8238,2022-03-21 04:11:00,Suzy,SObeR,186706,3X85D6hJvtgrP0Q0MGKuEX
8239,2022-03-21 04:14:00,BTS,DNA,223122,3uRLwBjI2TahxslcMTvpFs
8240,2022-03-21 04:18:00,DAY6,Say Hello,203760,25QZXjkQ1x0uFbcQ6PUeMK
8241,2022-03-21 04:18:00,OH MY GIRL,Dun Dun Dance,23209,54HsCR7lJJdwxmEnTY1JfF
8242,2022-03-21 04:19:00,Yoh kamiyama,色香水,22870,7FpABRyv5TaZz0llkhjPgc
8243,2022-03-21 04:22:00,YUKIKA,NEON,220795,5dF22XUGeNAR3GBhMgshgp
8244,2022-03-21 04:28:00,AAA,恋音と雨空,316400,78BOMFGKODShHuIrtZa6O9
8245,2022-03-21 04:32:00,Ado,ギラギラ,276213,2mSRPQsUDIXJFfo3CpKJBA
8246,2022-03-21 04:36:00,The Lamb,Plastic Girl,199210,3z6ZDn8Rdb9gO1LG4xEy67
8247,2022-03-21 04:39:00,Gen Hoshino,Create,234166,5FqE1Cd1rt7ijK76BlFx87
8248,2022-03-21 04:40:00,KANA-BOON,スターマーカー,3994,0pQm5AbAaVy9XrOLf7rgSF
8249,2022-03-21 04:40:00,Masaki Suda,さよならエレジー,1010,3oYD2O31b05fILFpv0AXRI
8250,2022-03-21 04:44:00,Aimer,ever after,236293,0mkctINFN0327pYxp1CRhQ
8251,2022-03-21 04:48:00,Ado,レディメイド,244377,3hkGr1uZjTdiAPZrk2NTiP
8252,2022-03-21 04:51:00,ultramodernista,Florida,219680,4bIpfZlo8kAQlfoh5V5kH9
8253,2022-03-21 04:54:00,BOL4,Love Letter,190173,2qPQ2MoVwf7VsKddqPfttw
8254,2022-03-21 04:58:00,Omoinotake,One Day,223741,648sjoR2ga0PXixXttyqzJ
8255,2022-03-21 05:02:00,Kenshi Yonezu,砂の惑星 ( + 初音ミク ),240026,3aYz5EBaRTWLpsfyUIsQyX
8256,2022-03-21 05:08:00,BBHF,Simple,329022,5LsWj75AnzsdY0ii4ZPJce
8257,2022-03-21 05:08:00,Ado,永遠のあくる日,7395,5WaSJKCZhmRZ8Pxn1oTjA5
8258,2022-03-21 05:11:00,SURL,Dry Flower,183186,1Dqo8RY50LMCvjjA3kOrNZ
8259,2022-03-21 05:14:00,Aimer,カタオモイ,207360,2HovXsvcdJur52BOcYGydz
8260,2022-03-21 05:17:00,YOASOBI,ミスター,187000,2YbNZLoiREBYZo4HeKB8Np
8261,2022-03-21 05:21:00,AAA,First Name,215334,6PRQGNKGskPsajqcPUmavg
8262,2022-03-21 05:25:00,Yoh kamiyama,色香水,250792,7FpABRyv5TaZz0llkhjPgc
8263,2022-03-21 05:29:00,ヨルシカ,言って。,242182,6z1TvLTR0oOsWSJfDrERmj
8264,2022-03-21 05:34:00,Aimer,broKen NIGHT,296306,6CDkzGTESwc9huctjalPLU
8265,2022-03-21 05:38:00,Yoh kamiyama,Girl.,205287,2uH4sSVxfRDBhsg1YekBBm
8266,2022-03-21 05:40:00,Yoh kamiyama,セブンティーン,165729,1zUv5N8VNYUoArDdlmsqIm
8267,2022-03-21 05:44:00,SE SO NEON,NAN CHUN 난춘,229493,320twJYO0LC64eWCuCC5vj
8268,2022-03-21 05:48:00,yama,Haru wo Tsugeru,196497,5QseXDzPvtjdeaWNhYbm0m
8269,2022-03-21 05:53:00,AAA,愛してるのに、愛せない,300133,1YjQMlW69RDw6EuLbpIfmB
8270,2022-03-21 05:56:00,Stella Jang,Blue Turns Pink,203397,1uGWbcPnQPZESJfyqAcXh2
8271,2022-03-21 06:00:00,YOASOBI,たぶん,256773,62Lv9WcrfzJqhvYDbilJy3
8272,2022-03-21 06:04:00,John Park,March Lover,225000,230SVQ0fk5TOK2fipXXsYH
8273,2022-03-21 06:08:00,イ・ジェジン(from FTISLAND),Love Like The Films,216179,4QAau11NNQjvoLeKjZuYFk
8274,2022-03-21 06:12:00,Kiro Akiyama,Caffeine,243253,708feUe50Ed8N6zilSiSQM
8275,2022-03-21 06:16:00,Vaundy,東京フラッシュ,258858,3vXdK7DCzJyp1MIh10TJFS
8276,2022-03-21 06:20:00,KANA-BOON,ないものねだり,262693,1dsh4buvcBs2u7YtHy29c7
8277,2022-03-21 06:25:00,AAA,Beat Together,258781,5AW80AfnRaxpE0WJdx5tuJ
8278,2022-03-21 06:29:00,Yoh kamiyama,セブンティーン,2750,1zUv5N8VNYUoArDdlmsqIm
8279,2022-03-21 06:29:00,Mrs. GREEN APPLE,"Love me, Love you",4730,4MqqZRjZVkheBor570C2yt
8280,2022-03-21 06:29:00,Stella Jang,Pierrot laughs at us,1411,6Jg4hjIR4yesju7znd05KC
8281,2022-03-21 06:29:00,SHO OKAMOTO,Slider,3600,0SzNxwdDnA5zoyTIvuckGd
8282,2022-03-21 06:29:00,SHO OKAMOTO,Slider,265668,0SzNxwdDnA5zoyTIvuckGd
8283,2022-03-21 06:29:00,Ado,会いたくて,1160,4QQ0LKm5FsoWCArRoPIflV
8284,2022-03-21 06:29:00,YOASOBI,ミスター,3460,2YbNZLoiREBYZo4HeKB8Np
8285,2022-03-21 06:33:00,YOASOBI,ミスター,187000,2YbNZLoiREBYZo4HeKB8Np
8286,2022-03-21 06:37:00,Ado,会いたくて,294542,4QQ0LKm5FsoWCArRoPIflV
8287,2022-03-21 06:43:00,Masaki Suda,スプリンター,336280,608Gx7f9KdBM5RQNLB8H9F
8288,2022-03-21 06:48:00,サザンオールスターズ,TSUNAMI,315500,2iXZA6Ecf9AZHw92tZBNLv
8289,2022-03-21 06:52:00,Ado,レディメイド,244377,3hkGr1uZjTdiAPZrk2NTiP
8290,2022-03-21 06:56:00,ultramodernista,Florida,219680,4bIpfZlo8kAQlfoh5V5kH9
8291,2022-03-21 06:59:00,Yoh kamiyama,YELLOW,178712,6oLejuhWNQf76ydBbtLrT9
8292,2022-03-21 10:59:00,Gen Hoshino,Branko (House ver.),1300,6YZ2xsNKi4yslgfu5qfkm1
8293,2022-03-21 10:59:00,10cm,한강의 작별 The Han's Farewell,882,2mZtLLnLaHrgICNiB9n5wr
8294,2022-03-21 10:59:00,TWICE,I love you more than anyone,1021,3AqYmY1GE4oW6w90BPAU3i
8295,2022-03-21 10:59:00,YeYe,ゆらゆら,812,76HrzCtA3XPVrvrkfmh7Pm
8296,2022-03-21 10:59:00,CIKI,BOKE,1416,3Rt7BjFHnJ4QxBGT897Vs2
8297,2022-03-21 11:03:00,Suzy,Dream,222415,3JBnDOUd18QKjDqSYuOfpm
8298,2022-03-21 11:06:00,IU,You,206373,1t9FZ4govN4TS6RcA6QpYH
8299,2022-03-21 11:09:00,10cm,Pet,149213,02ZdsqufZLJ4MmmgXDGokA
8300,2022-03-21 11:13:00,10cm,Go Back,253653,4GhDaROSZ1HHh6qGHxBR0O
8301,2022-03-21 11:17:00,BOL4,When I Fall In Love 사랑에 빠졌을 때,230525,6NI5NpMwuf3Og5F6cIwVGd
8302,2022-03-21 11:20:00,BOL4,Some,183960,3jsYQw78lrxJA2ysnmOIf9
8303,2022-03-21 11:25:00,YeYe,ゆらゆら,279000,76HrzCtA3XPVrvrkfmh7Pm
8304,2022-03-21 11:28:00,10cm,Phonecert,197503,47CcHKISaUPsK4QkO9ERFc
8305,2022-03-21 11:33:00,Gen Hoshino,Branko (House ver.),284941,6YZ2xsNKi4yslgfu5qfkm1
8306,2022-03-21 11:38:00,Mayday,後來的我們,346282,13AruKdh8wJhWx6i5dV8X1
8307,2022-03-21 11:42:00,10cm,한강의 작별 The Han's Farewell,225400,2mZtLLnLaHrgICNiB9n5wr
8308,2022-03-21 11:45:00,Masaki Suda,糸,204586,0FsdMLyUsseGCjZQAnsIK7
8309,2022-03-21 11:48:00,10cm,My Eyes - Instrumental,157000,1Gw0uRu4pDLBJMMVPXrrUb
8310,2022-03-21 11:50:00,Shin Giwon Piano,Love in the Milky Way Cafe,2205,79ka0jEpASJY1nyqbWx1Bz
8311,2022-03-21 11:50:00,10cm,Island,106997,0MFMyPAWAtzGfoM8kQhgL4
8312,2022-03-21 11:50:00,BOL4,To My Youth,4435,4gMPlHHAjOQnUrhsuqHivn
8313,2022-03-21 11:50:00,Mao Buyi,想你想你,1555,2fzKWRNch7vItvtI0SSTDN
8314,2022-03-21 11:50:00,CIKI,BOKE,2647,3Rt7BjFHnJ4QxBGT897Vs2
8315,2022-03-21 11:50:00,Daoko,打上花火,1741,4IouQaO9GkaHC7AtMErdSa
8316,2022-03-21 11:53:00,Shin Giwon Piano,Love in the Milky Way Cafe,171639,79ka0jEpASJY1nyqbWx1Bz
8317,2022-03-21 11:58:00,Daoko,打上花火,289577,4IouQaO9GkaHC7AtMErdSa
8318,2022-03-21 12:03:00,Mayday,諾亞方舟 live in the sky,348000,2a0inqiw4x2h0tmk70jT32
8319,2022-03-21 12:08:00,Mayday,突然好想你,265866,0IAgufC1FlOg1nZMmRZxRr
8320,2022-03-21 12:12:00,10cm,However,230909,2IyXEo8uco4MvrSJWXKcbL
8321,2022-03-21 12:13:00,hrishi,Paul McCartney (superstar),626,6FO6ofhaQrs3sU86jzubkK
8322,2022-03-21 12:13:00,ヨルシカ,ただ君に晴れ,1021,3wJHCry960drNlAUGrJLmz
8323,2022-03-21 12:13:00,COIN,Crash My Car,766,0X5mtNbqxbiTYkwj0CQc2f
8324,2022-03-21 12:13:00,Kenshi Yonezu,砂の惑星 ( + 初音ミク ),1416,3aYz5EBaRTWLpsfyUIsQyX
8325,2022-03-21 12:13:00,Stella Jang,Would You Love Me?,76972,2oR3YkeTtH4lV6nzt7xxrh
8326,2022-03-21 12:13:00,Aimer,broKen NIGHT,1671,6CDkzGTESwc9huctjalPLU
8327,2022-03-21 12:13:00,Hippo Campus,Buttercup,3482,6iCJCZqDJjmBxt07Oid6FI
8328,2022-03-21 12:13:00,"Suit Up, Soldier",Tongue Tied Twisted,905,1HO8v2GcayPkBshiknWdc1
8329,2022-03-21 12:13:00,The Millennial Club,summer nights,975,6tQQYvGkmpjWLVmJKc0Rpr
8330,2022-03-21 12:13:00,Hippo Campus,Way It Goes,1137,6CES1554HcWMIVroJfmmBm
8331,2022-03-21 12:13:00,COIN,Youuu,975,7u1es8J70XtwkKXWBDXsyZ
8332,2022-03-21 12:13:00,Yoh kamiyama,YELLOW,5828,6oLejuhWNQf76ydBbtLrT9
8333,2022-03-21 12:13:00,John Mayer,New Light,348,4T6FWA703h6H7zk1FoSARw
8334,2022-03-21 12:15:00,"Suit Up, Soldier",Tongue Tied Twisted,97686,1HO8v2GcayPkBshiknWdc1
8335,2022-03-21 12:18:00,10cm,Island,201757,0MFMyPAWAtzGfoM8kQhgL4
8336,2022-03-21 12:22:00,10cm,Go Back,253653,4GhDaROSZ1HHh6qGHxBR0O
8337,2022-03-21 12:26:00,10cm,However,230909,2IyXEo8uco4MvrSJWXKcbL
8338,2022-03-21 12:27:00,Mega Shinnosuke,Togenkyo To Taxi,23047,3R60XK5itnYkiQkopv7rKE
8339,2022-03-21 12:31:00,Gen Hoshino,Branko (House ver.),284941,6YZ2xsNKi4yslgfu5qfkm1
8340,2022-03-21 12:34:00,CIKI,BOKE,162315,3Rt7BjFHnJ4QxBGT897Vs2
8341,2022-03-21 12:55:00,DPR IAN,No Blueberries,185106,4lpvCG7eNzHAXwvMxWUNjz
8342,2022-03-21 12:56:00,88rising,California (feat. Warren Hue),1270,3Qj2f7BrpJNGj3dbxKpOlp
8343,2022-03-21 12:56:00,pH-1,Nerdy Love,2750,2TfsNTyC4uuamXBZJnU0ga
8344,2022-03-21 12:56:00,keshi,SOMEBODY,4490,3iqlzKw1tLt6tXZyKWV0fZ
8345,2022-03-21 12:56:00,ZICO,Any song,810,1iIhGHzzrzqQfuNkFI2qAn
8346,2022-03-21 12:56:00,NIKI,lowkey,1070,5TTXEcfsYLh6fTarLaevTi
8347,2022-03-21 12:56:00,keshi,always,1010,26dXOkhzMxLLNaUXt77HQc
8348,2022-03-21 12:56:00,DPR LIVE,Jam & Butterfly,1890,5rZkRaL4AjykFgw49KULyo
8349,2022-03-21 12:56:00,Sik-K,iffy (Prod. GroovyRoom),36545,4q9JLlC3HIhN4CDC6KlpYK
8350,2022-03-21 12:56:00,FLANNEL ALBERT,After U,640,65ujo2QP4mCg8eKq2OU8gF
8351,2022-03-21 12:56:00,keshi,beside you,1360,1Fhb9iJPufNMZSwupsXiRe
8352,2022-03-21 12:56:00,DPR LIVE,Text Me,1200,1dN4Z7wZTQXLEl33RkMO3a
8353,2022-03-21 12:56:00,DEAN,instagram,640,6z1kLsntE7FuzKZHZWrXYN
8354,2022-03-21 12:56:00,Life of Hojj,Average Chick (feat. Crucial Star),970,199YID2DIjjqJd6GBaDTko
8355,2022-03-21 13:00:00,DPR LIVE,Martini Blue,195204,7zDu3l7DDlfSlt20YMKkWo
8356,2022-03-21 13:03:00,88rising,The Weekend (with 347aidan) - Remix,167661,0G7xOaJtStqoAEyLKNuRA3
8357,2022-03-21 13:06:00,NIKI,Every Summertime,215686,68HocO7fx9z0MgDU0ZPHro
8358,2022-03-21 13:09:00,DPR IAN,Scaredy Cat,170800,4LkXtklCusSbi6UxYWgH8B
8359,2022-03-21 13:12:00,pH-1,365&7 (Feat. JAMIE),169133,6VYY26Wws3jIS1DdqeOsXZ
8360,2022-03-21 13:15:00,1TEAM,습관적 VIBE,191900,7jG93mz6jmMRC3xQJF7wXT
8361,2022-03-21 13:18:00,keshi,B.Y.S.,165154,2yyluSgySg95O24RBkgrMR
8362,2022-03-21 13:22:00,DPR LIVE,Diamonds + And Pearls,219586,314oBdIvnoTPDwSP4zOP8p
8363,2022-03-21 13:25:00,keshi,War With Heaven,193373,14gmLQPNYokqB8OKxAp69f
8364,2022-03-21 13:28:00,NIKI,lowkey,171355,5TTXEcfsYLh6fTarLaevTi
8365,2022-03-21 13:31:00,DPR LIVE,Hula Hoops,203066,5FsdBmqWWfS6S5X4NfmxSh
8366,2022-03-21 13:35:00,Jay Park,All I Wanna Do (K) (Feat. Hoody & Loco),216786,2FWquqPNxte8iqZ3ATQG0p
8367,2022-03-21 13:38:00,DEAN,D (Half Moon),229359,3uA8SjMyDtwtt0jLPMQbVD
8368,2022-03-21 13:42:00,DEAN,풀어,211972,2p980qlVXYLh3HdHusbhfa
8369,2022-03-21 13:45:00,DPR LIVE,Jasmine,201510,2IgbYlOlFpiSFYnsqB39lM
8370,2022-03-21 13:48:00,pH-1,Oscar,188106,2Wqnhu5dRQDAQi8Ej6HnVQ
8371,2022-03-21 13:51:00,DPR CREAM,Color Drive,160933,2CbkBIUKBxPFY38a7dCLcc
8372,2022-03-21 13:54:00,DPR LIVE,Venus,196813,2aLH4EiEoZLpbeEQvTBbtH
8373,2022-03-21 13:56:00,DPR IAN,zombie pop,114380,5zhMMVw097YOSvT0oDGgDV
8374,2022-03-21 13:58:00,SHAUN,Blue (feat. Wonstein),139333,2Mopfg1kat03jUVeFA1Q6p
8375,2022-03-21 14:02:00,pH-1,LATELY (Feat. Hoody),231613,68W9Rt5yAcalwteykLJ82a
8376,2022-03-21 14:06:00,pH-1,Cupid,220489,2QWQbZq001S7e9Pxu5rbS7
8377,2022-03-21 14:09:00,DPR LIVE,Boom,201320,7xgHy510SVkSgV1ZpzElW1
8378,2022-03-21 14:12:00,DPR LIVE,Yellow Cab,143981,6KZ5tQzMzradTe0pxsfObz
8379,2022-03-21 16:59:00,Virginia To Vegas,no excuses,4637,0fL0C37F64Ufzi2kHRql5Y
8380,2022-03-21 16:59:00,lovelytheband,"don't worry, you will",960,09akcdeCiV2jIl6x9WpmxA
8381,2022-03-21 16:59:00,Tyde Levi,AAA,1180,1DnN1RRe7dFzCkfU72XuZI
8382,2022-03-21 16:59:00,Valley,Oh shit…are we in love?,155384,4BIuY0oEopXizyP3WvkNrT
8383,2022-03-21 17:03:00,lovelytheband,"don't worry, you will",197000,09akcdeCiV2jIl6x9WpmxA
8384,2022-03-21 17:03:00,Tyde Levi,AAA,4921,1DnN1RRe7dFzCkfU72XuZI
8385,2022-03-21 17:03:00,Lauv,i'm so tired...,490,4vjpLMyL3ZO6aphdYr8XYw
8386,2022-03-21 17:07:00,Lauv,Modern Loneliness,252337,1eyek0KJEh2v5HQ9uQSybb
8387,2022-03-21 17:09:00,ROLE MODEL,blind,58834,0NuWgxEp51CutD2pJoF4OM
8388,2022-03-22 03:27:00,Landon Conrath,Last Week,217790,0eIqoSvfTqnQgr241KxqYr
8389,2022-03-22 03:29:00,hrishi,Paul McCartney (superstar),164343,6FO6ofhaQrs3sU86jzubkK
8390,2022-03-22 03:31:00,Your Neighbors,Chicken,91611,7fPUzdTdRD8xIJUOq0uX6n
8391,2022-03-25 02:59:00,League of Legends,Phoenix,0,6zAiRKvAMlXHxEtyO4yxIO
8392,2022-03-25 02:59:00,League of Legends,Take Over,650,7asFSf2pkWNEG3E5EuN1QR
8393,2022-03-25 02:59:00,Danny McCarthy,Silver Scrapes (As Featured In League of Legends Season 2 World Championship),0,3CtZB2dVuHWHXIGShH9jUK
8394,2022-03-25 02:59:00,Hot Chelle Rae,Tangerine,895,6V8KMTrbxz5J3qgg6F0IyJ
8395,2022-03-25 02:59:00,BOL4,You(=I),5720,6IBPrw5nYj84x8JpiOvXUp
8396,2022-03-25 02:59:00,MC Virgins,Trap Anthem,0,5YOlr46EwaH34hfN6r4vXR
8397,2022-03-25 02:59:00,Curtis Waters,Stunnin' (feat. Harm Franklin),0,2JSmxLqt8h7ZpJJkfuLJvK
8398,2022-03-25 02:59:00,Train,Drive By,0,0KAiuUOrLTIkzkpfpn9jb9
8399,2022-03-25 02:59:00,KANA-BOON,スターマーカー,0,0pQm5AbAaVy9XrOLf7rgSF
8400,2022-03-25 02:59:00,The Band CAMINO,See Through,0,1pJzl0YsxaWj6BbPs1mUuQ
8401,2022-03-25 02:59:00,KANA-BOON,ハグルマ,0,3PZ3L74f26SFyQfVLfuMnH
8402,2022-03-25 02:59:00,League of Legends,Warriors,0,3f4fc8c8unrQeKecmUPEDR
8403,2022-03-25 02:59:00,Leland Blue,Lying to Myself,991,509OiuJE6dMYeJytk3ub91
8404,2022-03-25 02:59:00,YOASOBI,夜に駆ける,1930,3dPtXHP0oXQ4HCWHsOA9js
8405,2022-03-25 02:59:00,wolfi,misleading,184500,3gv6fbSPHJvSaA4LmCkpid
8406,2022-03-25 02:59:00,Johnny Stimson,Zombies,0,1JH0sX7N3KQIVTKJw6UNGi
8407,2022-03-25 02:59:00,Yoh kamiyama,色香水,543,7FpABRyv5TaZz0llkhjPgc
8408,2022-03-25 02:59:00,Ashe,Moral of the Story,0,2nC3QhMI9reBIOWutbU3Tj
